,age,date,value,pop,vp
0,16-24,2019-10-01,0,6503380.0,0.0
1,16-24,2019-11-01,1,6503380.0,0.0001537661954245331
2,16-24,2019-12-01,-24,6503380.0,-0.0036903886901887943
3,16-24,2020-01-01,-31,6503380.0,-0.004766752058160526
4,16-24,2020-02-01,-41,6503380.0,-0.006304414012405856
5,16-24,2020-03-01,-53,6503380.0,-0.008149608357500254
6,16-24,2020-04-01,-64,6503380.0,-0.009841036507170118
7,16-24,2020-05-01,-67,6503380.0,-0.010302335093443717
8,16-24,2020-06-01,-85,6503380.0,-0.013070126611085312
9,16-24,2020-07-01,-99,6503380.0,-0.015222853347028775
10,16-24,2020-08-01,-120,6503380.0,-0.01845194345094397
11,16-24,2020-09-01,-114,6503380.0,-0.017529346278396772
12,16-24,2020-10-01,-109,6503380.0,-0.016760515301274106
13,16-24,2020-11-01,-107,6503380.0,-0.01645298291042504
14,16-24,2020-12-01,-100,6503380.0,-0.015376619542453309
15,16-24,2021-01-01,-93,6503380.0,-0.014300256174481578
16,25-34,2019-10-01,0,8474495.0,0.0
17,25-34,2019-11-01,17,8474495.0,0.0020060192377244898
18,25-34,2019-12-01,9,8474495.0,0.0010620101846776711
19,25-34,2020-01-01,13,8474495.0,0.0015340147112010804
20,25-34,2020-02-01,13,8474495.0,0.0015340147112010804
21,25-34,2020-03-01,4,8474495.0,0.00047200452652340933
22,25-34,2020-04-01,-9,8474495.0,-0.0010620101846776711
23,25-34,2020-05-01,-11,8474495.0,-0.0012980124479393758
24,25-34,2020-06-01,-18,8474495.0,-0.0021240203693553422
25,25-34,2020-07-01,-41,8474495.0,-0.004838046396864946
26,25-34,2020-08-01,-68,8474495.0,-0.008024076950897959
27,25-34,2020-09-01,-78,8474495.0,-0.009204088267206482
28,25-34,2020-10-01,-69,8474495.0,-0.00814207808252881
29,25-34,2020-11-01,-68,8474495.0,-0.008024076950897959
30,25-34,2020-12-01,-52,8474495.0,-0.006136058844804322
31,25-34,2021-01-01,-29,8474495.0,-0.0034220328172947178
32,35-49,2019-10-01,0,12601911.0,0.0
33,35-49,2019-11-01,3,12601911.0,0.0002380591324601483
34,35-49,2019-12-01,-2,12601911.0,-0.00015870608830676554
35,35-49,2020-01-01,-4,12601911.0,-0.0003174121766135311
36,35-49,2020-02-01,-10,12601911.0,-0.0007935304415338277
37,35-49,2020-03-01,-14,12601911.0,-0.0011109426181473588
38,35-49,2020-04-01,-13,12601911.0,-0.001031589573993976
39,35-49,2020-05-01,-5,12601911.0,-0.00039676522076691385
40,35-49,2020-06-01,-22,12601911.0,-0.001745766971374421
41,35-49,2020-07-01,-21,12601911.0,-0.001666413927221038
42,35-49,2020-08-01,-41,12601911.0,-0.0032534748102886935
43,35-49,2020-09-01,-68,12601911.0,-0.005396007002430028
44,35-49,2020-10-01,-111,12601911.0,-0.008808187901025487
45,35-49,2020-11-01,-120,12601911.0,-0.009522365298405932
46,35-49,2020-12-01,-109,12601911.0,-0.008649481812718721
47,35-49,2021-01-01,-104,12601911.0,-0.008252716591951807
48,50-64,2019-10-01,0,10297259.0,0.0
49,50-64,2019-11-01,1,10297259.0,9.711322207200964e-05
50,50-64,2019-12-01,-15,10297259.0,-0.0014566983310801448
51,50-64,2020-01-01,-30,10297259.0,-0.0029133966621602897
52,50-64,2020-02-01,-20,10297259.0,-0.001942264441440193
53,50-64,2020-03-01,-3,10297259.0,-0.00029133966621602896
54,50-64,2020-04-01,6,10297259.0,0.0005826793324320579
55,50-64,2020-05-01,0,10297259.0,0.0
56,50-64,2020-06-01,-23,10297259.0,-0.0022336041076562218
57,50-64,2020-07-01,-61,10297259.0,-0.005923906546392589
58,50-64,2020-08-01,-85,10297259.0,-0.00825462387612082
59,50-64,2020-09-01,-122,10297259.0,-0.011847813092785178
60,50-64,2020-10-01,-122,10297259.0,-0.011847813092785178
61,50-64,2020-11-01,-139,10297259.0,-0.013498737868009342
62,50-64,2020-12-01,-132,10297259.0,-0.012818945313505274
63,50-64,2021-01-01,-138,10297259.0,-0.013401624645937332
64,65+,2019-10-01,0,9372838.0,0.0
65,65+,2019-11-01,-7,9372838.0,-0.0007468388976743223
66,65+,2019-12-01,-6,9372838.0,-0.0006401476265779905
67,65+,2020-01-01,-7,9372838.0,-0.0007468388976743223
68,65+,2020-02-01,-2,9372838.0,-0.0002133825421926635
69,65+,2020-03-01,4,9372838.0,0.000426765084385327
70,65+,2020-04-01,0,9372838.0,0.0
71,65+,2020-05-01,8,9372838.0,0.000853530168770654
72,65+,2020-06-01,3,9372838.0,0.00032007381328899527
73,65+,2020-07-01,5,9372838.0,0.0005334563554816588
74,65+,2020-08-01,-5,9372838.0,-0.0005334563554816588
75,65+,2020-09-01,-3,9372838.0,-0.00032007381328899527
76,65+,2020-10-01,-8,9372838.0,-0.000853530168770654
77,65+,2020-11-01,-4,9372838.0,-0.000426765084385327
78,65+,2020-12-01,-5,9372838.0,-0.0005334563554816588
79,65+,2021-01-01,-6,9372838.0,-0.0006401476265779905
